team_year,year,team,region,seed,finish,weekend,conference,logo
2021 Kansas,2021,Kansas,West,3,Second Round,1,Big 12,
2022 Kansas,2022,Kansas,Midwest,1,Champion,3,Big 12,
2023 Kansas,2023,Kansas,West,1,Second Round,1,Big 12,
2008 Kansas St.,2008,Kansas St.,Midwest,11,Second Round,1,Big 12,
2010 Kansas St.,2010,Kansas St.,West,2,Elite Eight,2,Big 12,
2011 Kansas St.,2011,Kansas St.,Southeast,5,Second Round,1,Big 12,
2012 Kansas St.,2012,Kansas St.,East,8,Second Round,1,Big 12,
2013 Kansas St.,2013,Kansas St.,West,4,First Round,1,Big 12,
2014 Kansas St.,2014,Kansas St.,Midwest,9,First Round,1,Big 12,
2017 Kansas St.,2017,Kansas St.,South,11,First Round,1,Big 12,
2018 Kansas St.,2018,Kansas St.,South,9,Elite Eight,2,Big 12,
2019 Kansas St.,2019,Kansas St.,South,4,First Round,1,Big 12,
2023 Kansas St.,2023,Kansas St.,East,3,Elite Eight,2,Big 12,
2023 Kennesaw St.,2023,Kennesaw St.,Midwest,14,First Round,1,ASUN,
2008 Kent St.,2008,Kent St.,Midwest,9,First Round,1,MAC,
2017 Kent St.,2017,Kent St.,South,14,First Round,1,MAC,
2023 Kent St.,2023,Kent St.,Midwest,13,First Round,1,MAC,
2008 Kentucky,2008,Kentucky,South,11,First Round,1,SEC,
2010 Kentucky,2010,Kentucky,East,1,Elite Eight,2,SEC,
2011 Kentucky,2011,Kentucky,East,4,Final Four,3,SEC,
2012 Kentucky,2012,Kentucky,South,1,Champion,3,SEC,
2014 Kentucky,2014,Kentucky,Midwest,8,Runner Up,3,SEC,
2015 Kentucky,2015,Kentucky,Midwest,1,Final Four,3,SEC,
2016 Kentucky,2016,Kentucky,East,4,Second Round,1,SEC,
2017 Kentucky,2017,Kentucky,South,2,Elite Eight,2,SEC,
2018 Kentucky,2018,Kentucky,South,5,Sweet 16,2,SEC,
2019 Kentucky,2019,Kentucky,Midwest,2,Elite Eight,2,SEC,
2022 Kentucky,2022,Kentucky,East,2,First Round,1,SEC,
2023 Kentucky,2023,Kentucky,East,6,Second Round,1,SEC,
2013 La Salle,2013,La Salle,West,13,Sweet 16,2,A10,
2015 Lafayette,2015,Lafayette,East,16,First Round,1,Patriot,
2012 Lamar,2012,Lamar,Midwest,16,First Round,1,Southland,
2010 Lehigh,2010,Lehigh,Midwest,16,First Round,1,Patriot,
2012 Lehigh,2012,Lehigh,South,15,Second Round,1,Patriot,
2013 Liberty,2013,Liberty,Midwest,16,First Round,1,Big South,
2019 Liberty,2019,Liberty,East,12,Second Round,1,ASUN,
2021 Liberty,2021,Liberty,Midwest,13,First Round,1,ASUN,
2018 Lipscomb,2018,Lipscomb,West,15,First Round,1,ASUN,
2011 LIU,2011,LIU,East,15,First Round,1,NEC,
2012 LIU,2012,LIU,West,16,First Round,1,NEC,
2013 LIU,2013,LIU,East,16,First Round,1,NEC,
2018 LIU,2018,LIU,East,16,First Round,1,NEC,
2012 Long Beach St.,2012,Long Beach St.,West,12,First Round,1,Big West,
2022 Longwood,2022,Longwood,South,14,First Round,1,Big South,
2014 Louisiana,2014,Louisiana,West,14,First Round,1,Sun Belt,
2023 Louisiana,2023,Louisiana,East,13,First Round,1,Sun Belt,
2008 Louisville,2008,Louisville,East,3,Elite Eight,2,Big East,
2009 Louisville,2009,Louisville,Midwest,1,Elite Eight,2,Big East,
2010 Louisville,2010,Louisville,South,9,First Round,1,Big East,
2011 Louisville,2011,Louisville,Southwest,4,First Round,1,Big East,
2012 Louisville,2012,Louisville,West,4,Final Four,3,Big East,
2013 Louisville,2013,Louisville,Midwest,1,Champion,3,Big East,
2014 Louisville,2014,Louisville,Midwest,4,Sweet 16,2,AAC,
2015 Louisville,2015,Louisville,East,4,Sweet 16,2,ACC,
2017 Louisville,2017,Louisville,Midwest,2,Second Round,1,ACC,
2019 Louisville,2019,Louisville,East,7,First Round,1,ACC,
